id;text_de;text_en
1;Wie wichtig schätzen Sie Erkennungs- und Reaktionssysteme ein?;How important do you consider detection and response systems?
2;Unwesentlich;Not significant
3;Neutral;Neutral
4;Wesentlich;Significant
5;Sehr wesentlich;Very significant
6;Keine Angabe;No response
7;Denken Sie der Einsatz eines solchen Systems steigert die Sicherheit?;Do you think the use of such a system increases the security of your organization?
8;Durch den Betrieb von Erkennungs- und Reaktionssystemen hat meine Organisation einen Nutzen erwirtschaftet.;Has the operation of detection and response systems generated benefits for your organization?
9;Setzen wir nicht ein;We do not use such systems
10;Wie würden Sie sich fühlen, wenn eine staatliche Stelle einen solchen Dienst für Ihre Organisation betreibt?;How would you feel if a government agency operates such a system for your organization?
11;Sehr unsicher;Very insecure
12;Unsicher;Insecure
13;Sicher;Secure
14;Sehr sicher;Very secure
15;Wie würden Sie sich fühlen, wenn eine kommerzielle Stelle im staatlichen Auftrag einen solchen Dienst für Ihre Organisation betreibt?;How would you feel if a commercial agency operated such a service for your organisation on behalf of the government?
16;Bitte beschreiben Sie warum:;Please describe why:
17;Ich vertraue einer staatlichen Stelle hinsichtlich;I trust a government agency regarding
18;Qualität des Betriebs;Quality of operation
19;Expertise im Bezug auf Cybersicherheit;Expertise in cybersecurity
20;Einhaltung des Datenschutzes;Compliance with data protection
21;Einhaltung der vereinbarten Leistungen;Adherence to service level agreements
22;Nationale Zusammenarbeit;National cooperation
23;Internationale Zusammenarbeit;International cooperation
24;Andere (bitte ausführen);Other (please specify):
25;Kaum;Barely
26;Stark;Strongly
27;Vollumfänglich;Fully
28;Wo soll der Betrieb der Erkennungs- und Reaktionssysteme angesiedelt sein:;Where should the operation of the detection and response systems be based?
29;Auf europäischer / EU Ebene;At European / EU level
30;Staatlich (z.B. BMI);Governmental
31;Private Organisation im Auftrag und unter Kontrolle einer staatlichen Stelle;Private organisation on behalf of and under the control of a government agency
32;Verein, oder Verbund (z.B. CERT, Sektor-CERT);Association or group (e.g. CERT, sector CERT)
33;Sonstiges;Other:
34;"Um herauszufinden ob Sie nach wie vor aktiv an der Umfrage teilnehmen, selektieren Sie bitte ""Sehr sicher"":";"To check if you are still actively participating in the survey, please select ""Very sure""?"
35;Fühlen Sie sich persönlich mehr überwacht, seitdem Ihre Organisation Erkennungs- und Reaktionssysteme einsetzt?;Do you personally feel more monitored since your organisation started using detection and response systems?
36;Ja;Yes
37;Nein;No
38;Aus welchem Grund denken Sie, könnte der Betrieb einer solchen Lösung von staatlichem Interesse sein?;For what reason do you think the operation of such a solution might be of state interest?
39;Eindämmung von Schäden auf die Wirtschaft;Containment of damage to the economy
40;Bessere Reaktion im Krisenfall;Better response in the event of a crisis
41;Aufzeichnungen im kriminalrechtlichen Interesse (Veruntreuung, Korruption, Steuerhinterziehung);Records in the interest of criminal law (embezzlement, corruption, tax evasion)
42;Eindämmung von Spionageaktivitäten;Containment of espionage activities
43;Altersgruppe;Age group
44;< 18;< 18
45;18-25;18-25
46;26-35;26-35
47;36-45;36-45
48;46-55;46-55
49;56-65;56-65
50;> 65;> 65
51;Hat Ihre Ausbildung einen Bezug zu einem oder mehreren der nachfolgenden Bereiche?;Does your education relate to one or more of the following areas?
52;Technik;Technology
53;Recht;Law
54;Informatik;Information Technology
55;IT-Security;IT Security
56;Soziologie;Sociology
57;In welchem Land ist Ihre Organisation hauptansässig? (Es handelt sich um eine englische Liste.);In which country is your organization based?
58;Welche Position haben Sie aktuell in Ihrer derzeitigen Organisation inne?;What position do you currently hold in your current organisation?
59;Geschäftsführung;Management Board
60;Mitarbeiter:in mit Entscheidungsbefugnis im Bereich der IT-Sicherheit;Employee with decision-making authority in the area of IT security
61;Mitarbeiter:in;Employee
62;Wie schätzen Sie ihre Kenntnisse im Bereich von Detektions- und Erkennungssystemen ein?;How would you rate your knowledge in the area of detect and response systems?
63;Keine Kenntnisse;No knowledge
64;Wenig sachkundig;Slightly knowledgeable
65;Durchschnittlich sachkundig;Average knowledgeable
66;Sachkundig;Knowledgeable
67;Experte;Expert
68;Fällt ihre Organisation in einen der folgenden Bereiche?;Does your organization fall into any of the following categories?
